正股代码,正股名称,转债名称,状态,交易所,正股价,配10张需股数,评级,每股配债额(元),百元含权(元),保守版持股数,保守版投入(元),保守版安全垫(%),激进版持股数,激进版投入(元),激进版安全垫(%),有取整优势,同意注册日期,股权登记日,申购日,登记日次日开盘涨幅(%),登记日次日最低涨幅(%),登记日次日收盘涨幅(%)
603270,金帝股份,金帝转债,已过登记日,沪市,31.59,226,AA,4.4248,14.01,300,9477.0,7.98,200,6318.0,9.02,是,2026-06-12,2026-06-12,2026-06-12,-6.61,-6.71,-0.52
688092,爱科科技,爱科转债,已过登记日,沪市,21.2,310,AA-,3.2258,15.22,400,8480.0,8.67,200,4240.0,13.44,是,2026-06-10,2026-06-10,2026-06-10,-14.21,-19.71,-17.14
603129,春风动力,春风转债,已过登记日,沪市,244.0,71,AA+,14.0845,5.77,100,24400.0,3.29,100,24400.0,2.34,否,2026-06-09,2026-06-09,2026-06-09,-2.73,-5.62,-5.0
603112,华翔股份,翔26转债,已过登记日,沪市,17.03,416,AA-,2.4038,14.12,500,8515.0,8.05,300,5109.0,11.16,是,2026-06-05,2026-06-05,2026-06-05,-7.58,-10.0,-10.0
688278,特宝生物,待定,预案,沪市,52.93,267,-,3.7453,7.08,300,15879.0,4.03,200,10586.0,5.38,是,2026-06-26,,,,,
000887,中鼎股份,待定,预案,深市,17.35,686,-,1.4577,8.4,700,12145.0,4.79,700,12145.0,4.69,否,2026-06-23,,,,,
002997,瑞鹄模具,待定,预案,深市,28.26,306,-,3.268,11.56,400,11304.0,6.59,400,11304.0,5.04,否,2026-06-23,,,,,
300953,震裕科技,待定,预案,深市,128.2,130,-,7.6923,6.0,200,25640.0,3.42,200,25640.0,2.22,否,2026-06-23,,,,,
301000,肇民科技,待定,预案,深市,30.88,413,-,2.4213,7.84,500,15440.0,4.47,500,15440.0,3.69,否,2026-06-24,,,,,
603163,圣晖集成,待定,预案,沪市,135.58,182,-,5.4945,4.05,200,27116.0,2.31,100,13558.0,4.2,是,2026-06-17,,,,,
600389,江山股份,待定,预案,沪市,19.78,364,-,2.7473,13.89,400,7912.0,7.92,200,3956.0,14.41,是,2026-06-18,,,,,
301132,满坤科技,待定,预案,深市,55.2,195,-,5.1282,9.29,200,11040.0,5.3,200,11040.0,5.16,否,2026-06-12,,,,,
605123,派克新材,待定,预案,沪市,95.05,77,-,12.987,13.66,100,9505.0,7.79,100,9505.0,6.0,否,2026-06-12,,,,,
301628,强达电路,待定,预案,深市,108.12,138,-,7.2464,6.7,200,21624.0,3.82,200,21624.0,2.64,否,2026-06-12,,,,,
301459,丰茂股份,待定,预案,深市,31.3,172,-,5.814,18.57,200,6260.0,10.59,200,6260.0,9.11,否,2026-06-11,,,,,
301565,中仑新材,待定,预案,深市,24.11,375,-,2.6667,11.06,400,9644.0,6.3,400,9644.0,5.91,否,2026-06-05,,,,,
002550,千红制药,待定,预案,深市,5.98,1280,-,0.7812,13.06,1300,7774.0,7.45,1300,7774.0,7.33,否,2026-06-05,,,,,
300631,久吾高科,待定,预案,深市,23.2,417,-,2.3981,10.34,500,11600.0,5.89,500,11600.0,4.91,否,2026-06-05,,,,,
300453,三鑫医疗,待定,预案,深市,8.91,986,-,1.0142,11.38,1000,8910.0,6.49,1000,8910.0,6.4,否,2026-06-05,,,,,
688605,先锋精科,待定,预案,沪市,99.0,271,-,3.69,3.73,300,29700.0,2.12,200,19800.0,2.88,是,2026-06-04,,,,,
603067,振华股份,待定,预案,沪市,42.74,861,-,1.1614,2.72,900,38466.0,1.55,500,21370.0,2.67,是,2026-06-02,,,,,
688480,赛恩斯,待定,预案,沪市,89.69,169,-,5.9172,6.6,200,17938.0,3.76,100,8969.0,6.36,是,2026-06-01,,,,,
688686,奥普特,待定,预案,沪市,154.2,97,-,10.3093,6.69,100,15420.0,3.81,100,15420.0,3.7,否,2026-05-29,,,,,
603339,四方科技,待定,预案,沪市,14.26,303,-,3.3003,23.14,400,5704.0,13.19,200,2852.0,19.99,是,2026-05-21,,,,,
603786,科博达,待定,预案,沪市,41.15,271,-,3.69,8.97,300,12345.0,5.11,200,8230.0,6.93,是,2026-05-20,,,,,
300815,玉禾田,待定,预案,深市,16.67,266,-,3.7594,22.55,300,5001.0,12.85,300,5001.0,11.4,否,2026-04-22,,,,,
002913,奥士康,待定,预案,深市,63.96,318,-,3.1447,4.92,400,25584.0,2.8,400,25584.0,2.23,否,2026-04-02,,,,,
600642,申能股份,待定,预案,沪市,8.63,2445,-,0.409,4.74,2500,21575.0,2.7,1300,11219.0,5.08,是,2026-03-18,,,,,
